id,description,jobflag
494,"Assist with the full project lifecycle including requirements gathering, functional design, installation, user acceptance testing, issue resolution and production implementation",4
495,Introduce customers to Service Department personnel to emphasize to them the quality and efficiency of service repairs and maintenance available in our expert service department.,4
496,Develop replicable analyses and a reusable code base for understanding and enhancing search performance.,1
497,Understand funding processes and collaborate effectively with funders,4
498,Additional duties as requested.,3
499,"Expertise in extracting technical requirements from vague starting points, and openness to feedback",1
500,Knowledge and experience of complex software design for distributed systems in embedded networking/telecommunications projects.,3
501,"Build, develop and test detailed functional designs for business solution components and prototypes.",4
502,"Work on rich, high-quality training data set creation, augmenting and annotation",2
503,Writes automated tests and test apps,3
504,Apply a range of data science techniques and tools to solve difficult business problems,1
505,Contribute to test automation initiatives including building test tools to improve code quality and application performance,3
506,Appropriately escalates issues requiring resolution.,4
507,"Train both end user and Business Partners on Alcatel-Lucent Enterprise wired network (L2/L3), wireless LAN, and NMS equipment being installed or maintained.",3
508,"Lead a small team that combines a general knowledge of multiple technology areas with knowledge of the targeted business function. Team will dene and document the business requirements, including pre-project definition, scoping, and prioritization of solutions aligned to desired business and technology strategies.",4
509,New Hardware & Software products pre-release testing.,3
510,"Remains flexible and responsive to changing priorities and multiple, concurrent responsibilities.",3
511,Communicating key insights and findings to the product team.,4
512,Interpret 2D and 3D engineering drawings as well as FAI and Cpk statistical process capability analysis.,3
513,Develop and analyze automated tests,3
514,Identify technical solutions that can be rapidly developed and deployed in a robust manner,3
515,"Drive engineering best practices across the data team, including code reviews, testing and reproducibility",2
516,Follow industry best practices for software development activities,3
517,"Responsible for understanding business and technical problems addressed by the products including key regulations, business drivers, evolving business needs, security etc.;",4
518,Establish working relationships with all the productized SCRUM teams and key team members and across the IT organization as appropriate,3
519,Develop sophisticated visualization of analysis output for business users.,1
520,"Contribute to strategic, financial, and resource planning",3
521,Collaborate closely with software development colleagues to resolve issues and make improvements,3
522,"Architect, Design, Develop & Implement innovative software solutions related to the modern software development practices, DevOps and Agile Transformation of the enterprise.",4
523,"Coordinate with cross-functional teams to implement models, monitor outcomes, and make enhancements.",1
524,Review contractor submittals for compliance and provide approval and/or guidance to the government,3
525,Enhance data collection procedures to include information that is relevant for building analytic systems,1
526,"Support management of software defined infrastructure environment, configuration and build scripts for production environment.",3
527,Drive documentation writing with cross-functional teams,2
528,Ability to work in a collaborative and team environment,2
529,"Design, test, and modify geospatial big-data processing algorithms and enable implementation in either Python or Java suitable for a cloud-based architecture using Spark, Elastic Search and/or Hadoop",1
530,Write and maintain software design document. UML experience is a plus.,3
531,Develop subject matter expertise on source systems data and metadata,1
532,"Ensuring the stability, integrity and efficient operation of the firm technology infrastructure through the appropriate operation of technologies.",3
533,Generate and maintain detailed technical documents as required during the course of product development.,3
534,Document and communicate status of projects and initiatives to senior team members,1
535,Manages own personal and professional development; seeks opportunities for professional growth and expansion of consulting skills and experiences,4
536,"Lead key projects, and be viewed as, a strategic thought partner to the BU, looking beyond immediate needs and anticipating mid- to long-term needs that are likely to impact business decisions.",1
537,Allocates and manages test resources according to varying needs of different product teams,3
538,Improvement of existing Deep Learning software and creation of novel software tools for high performance GPU computing infrastructure,2
539,"Design and build systems which improve machine learning scalability, usability, and performance.",2
540,"Develop end-to-end from data acquisition to production, data pipelines and predictive/prescriptive models on large-scale data sets (structured and unstructured) to address various business problems; develop deep-dive analysis and machine learning models to drive member value and partner success",1
541,"Design, develop and program methods, processes, and systems to consolidate and analyze diverse ""big data"" sources to generate actionable insights",1
542,"Ability to adapt to new languages, methodologies, and platforms to meet the needs of the project.",3
543,"Proactively manage the growth, training, structure and capabilities of assigned development teams. Mentor engineers on design, development, and best practice concepts, and develop PrismHR s next generation of technology leaders.",3
544,The candidate will be contributing to build L3 Autonomous driving vehicle.,3
545,"Develop new consulting business opportunities with leading corporates in the food, beverage, cosmetic, textile and retail sectors and closely collaborate with the Key Account Management Team",4
546,Extend Agency Spotter API for,3
547,Coach and grow BOARD competences across the team and lead Consultants and Associate Consultants in project deliveries,4
548,Assist in coordination of specification review meetings to develop or confirm scope of work including exceptions and clarifications.,3
549,"take the lead on developing solutions refine work that you and other members of your team will execute on, and be able to break down and organize the work appropriately",2
550,Provide and own application support in assigned areas.,4
551,Works safely  especially as it relates to radiation safety.,3
552,"Perform basic analysis, development, testing, debugging, configuration, incident investigation, documentation, health monitoring/alerting, and implementing based on and related to user or system design specifications.",3
553,Develop testing procedures or routines to support new product development and enhancements,3
554,Define cybersecurity strategies for various product types,3
555,"Provide telephone/remote and on-site troubleshooting, training and support to end users and decision makes",3
556,Gaining referrals from current customers and participating in marketing demand generation initiatives,4
557,Create innovative solutions to meet the technical needs of customers.,2
558,Understands the software development life cycle and processes using model based development,3
559,Design and implement feedback loop protocols for continual model updates and improvements,2
560,Guide and mentor junior engineers. Serve as team lead if appropriate.,2
561,Create Strategy for Analyzing and leading the ML algorithms to solve a given problem and ranking them by their success probability,2
562,Develop and unit test applications in accordance with established standards,3
563,"Select features, build, and optimize classifiers using machine learning techniques",1
564,Translate customer needs and technology directions into development tasks,3
565,Performs tests and experiments in accordance with the requirements of Good Manufacturing Practices (GMP) and Good Laboratory Practices (GLP).,3
566,Collaborate across departments to understand business objectives and identify novel data-opportunities,1
567,Explore root cause for various issues identified in the data,1
568,Integrate third party application with existing environment.,3
569,Work with testing teams to ensure knowledge of software timing and availability,3
570,"Data Analyzer: strong problem-solving skills and hands-on coding skills with SQL, python,",1
571,"Collaborate with business stakeholders, business operations, and product engineering teams in analyzing business problems, building and testing solutions and data models, and implementing the algorithms and results of the models",2
572,Provide leadership and tactical expertise in the implementation and maintenance of company's business systems and resources to drive operational efficiencies and ensuring that business and regulatory requirements are met,4
573,"Assists in the resolution of billing, claims, or collection issues.",4
574,Must work overtime and weekends when needed,3
575,"Support Business Development, Project Management and DRT Customer Base",3
576,"Create a system for maintenance of all site required documentation related to HSE issues, i.e. accident reports, inspection reports, training logs",4
577,Monthly project status reports and change orders.,3
578,"Collaborate with product owners to translate business requirements into well-formed, actionable user stories and designs.",3
579,Identify opportunities for efficiencies in work process and innovative approaches to completing scope of work,4
580,Respond to degraded systems performance and troubleshoot system and network problems in a systematic manner.,3
581,"Coordinate with device development teams, parking vendors and customers to achieve and delivery solutions.",4
582,"Develop and Improve automation capabilities to enable customized delivery of the analytical products to clients,",1
583,"Desire to build proof-of-principle prototypes by ""getting your hands dirty"" and using basic machining equipment, hand-held tools, and creative unconventional techniques.",3
584,Represent GSK externally to advance technical capability across the Industry,2
585,"Architect, Develop & Implement innovative software solutions.",3
586,Build end-to-end algorithmic solutions that focus on improving the customer's experience both in-store and on our website.,1
587,Build prototypes to evaluate the effectiveness of technologies,2
588,Ensures the appropriate adherence to inter-departmental processes and procedures within the testing team.,3
589,"Provide input into design of adherence programs across brands by modeling impact of various options and design approaches, for example financial and behavioral segment impacts. Create and maintain knowledge library",1
590,Provide advanced manufacturing process analyses as well as numerical modeling and optimization where applicable in support of product development applications for BD business units.,3
591,Create automation to ensure quality.,3
592,Develop efficient feature capabilities to support proper data extraction & curation for analytical purposes,2
593,Assist with training and makes recommendations to end users on hardware and software applications.,4
594,Champion and lead the development of cross-organizational dashboards,1
595,"Performing software analysis, design and development according to existing coding standards and guidelines",3
596,"Outage response, high-level systems analysis, evaluation, documentation, and implementation requiring a thorough knowledge of administrative and technical skills related to the IEN/VoIP platform",3
597,"Working knowledge of ADAS/AD features: AEB, Lane Centering, ACC, Lane Line detection.",3
598,"Develop and enhance software tools, simulators, and interfaces;",3
599,Participate in business process management group efforts to collect and analyze metrics and continually improve processes owned by the group.,4
600,Contribute to and promote good software engineering practices across the team,2
601,"Analyze highly complex business requirements, design and write technical specifications to design or redesign complex applications",2
602,Flexibility of working across all functions/levels as part of a team.,1
603,"Facilitate Defect Triage meetings and manage the Issue Analysis process  Conduct key formal peer reviews, collect key metrics to facilitate a learning organization  Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements",3
604,"Participate in formal software inspection processes, customer meetings, and user events",3
605,"Designing systems to monitor the results of models in productions, discover and address anomalies, and ensure the robustness and reliability of these models",1
606,"Work through all phases of the software development life cycle, including research, design, analysis, requirements, implementation, test automation, and maintenance.",3
607,Determine necessary data sets and translate data into viable insights and business recommendations,1
608,"Design, develop, test, deploy, maintain, and enhance software solutions.",3
609,"Work in an Agile software development environment; attend and contribute to scrum, planning and retrospect meetings",3
610,"Generate cost experience and reconciliation reports including DONIBIS, SSR, and custom reports, as needed.",4
611,"Testing of ML models, such as cross-validation, A/B testing, bias and fairness",1
612,"Coordinate with engineering and maintenance on existing machine control modifications to robotic, electrical, electronic, pneumatic and vision systems",3
613,"Develop & execute comprehensive project plans, leveraging creativity & tenacity to solve tough problems & drive program success.",4
614,"Develop value propositions, identifying new business opportunities for data",1
615,Provide technical guidance to junior team members.,3
616,Provide technical and clinical expertise on Impulse Dynamics products while remaining educated on current industry trends and relevant competitive devices.,4
617,"Mentoring of junior team members around code style, requirements, and delivery",3
618,Write requirements for additional data collection through a mobile application,1
619,Build high-quality software that meets design specifications.,3
620,"Build collaborative relationships with key leaders and peers across the organization (i.e. Team Leaders, CoEs) to ensure the best use of overall resources.",3
621,Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.,3
622,Utilize dealership control and follow-up system and procedures,4
623,"Consultant provides reports of findings, analysis and recommendations for short, medium and long-term actions. The findings may be presented at one time or periodically at project milestones.",4
624,Provide technical and project leadership to other staff members,3
625,"Setup and test in multiple test environments comprising various OS and Browser versions, different mobile devices, and on the cloud",3
626,"Design and develop new machine controls including robotic, electrical, electronic, pneumatic and vision systems",3
627,"Verifying data quality, and/or ensuring it via data cleaning",2
628,Lay the groundwork hypothesize as an individual researcher and in collaboration with other team members on how to solve complex intelligence problems.,1
629,"Build and expand upon a broad array of data science models that predict event classification and revenue predictions, compute optimal auction pricing, and optimize internal operations (lead scoring)",1
630,Performs complex data modeling studies for senior management and develops detailed data models.,4
631,"Analyzes and designs data models, logical data bases and relational data base definitions.",4
632,Working with the customer facing team of Qualcomm to work on Approved test case issues,3
633,"Responsible for building and maintaining strategic partnerships with DH&A leadership, as well as having accountability for all technology delivery for the DH&A through direct engagement of delivery teams or partnership with other parts of Humanas IT organization.",4
634,Support the Category Management department in executing Merchandise Planning functions to produce Best in Class planograms for our retail partners.,4
635,"Assessing restructuring operating models, organizational structures, and business processes to streamline real estate and facilities management service delivery",4
636,Apply expert software development skills to a wide range of ML-related coding projects,2
637,Attend all meetings necessary for the seamless delivery of the product as part of the Software Development Life Cycle,3
638,"Using the details regarding an employee separation provided by the client, interpret and apply state laws and regulations in response to unemployment documents.",4
639,"Support team in building approach (e.g., systems, personnel, processes) for end-to-end data services.",1
640,Act as a Subject Matter Expert (SME) for front-end development.,3
641,Produce innovative solutions driven by exploratory data analysis from complex and highly dimensional datasets,1
642,"Develops data pipelines that are scalable, repeatable and secure.",3
643,"Develop, test, and debug application source code",3
644,Actively ensure all field personnel comply with safe work practices in accordance with EH&S standards,3
645,Developing and managing sales related projects,4
646,Prepare and submit paperwork according to established time frames and guidelines meeting agency and funding requirements,4
647,Maintains a working knowledge of applications and system integration and is able to understand changes in order to anticipate cross-system or cross-process impacts.,3
648,"Create detailed documentation for digital prototypes, custom solutions and products and assist in customer and partner implementations",3
649,Provide technical guidance to ensure alignment with Engineering architectural vision and best practices,3
650,Provide Statistical Genetics subject matter expertise and analysis solutions to inform patient stratification and enrichment strategies,1
651,Responsible for ensuring quality services are delivered for particular task(s) and is seen as the task leader,3
652,"Implement the requisite components of a complex and mission-critical communications platform using core Java, Kafka, Kubernetes, AWS and related technologies",3
653,"Utilize Freshservice, Jira, Bitbucket and other E-Tools for planning and execution",3
654,"Assist in the design, architecture, and implementation of new systems",3
655,"Provide analytical support and guidance, through database querying, third-party vendor reporting and external partner reports, across the enterprise",1
656,"Work closely with Marketing, Agency Administrator and Clinical Management to ensure that the demand for clinical care is aligned with our capacity and at no time compromises the Agency ability to provide the best quality care for our patients",4
657,Analyze failures and fix bugs.,3
658,Assemble the tools and platform for the creation of our next-generation interconnect IP elements.,3
659,Develop custom web application and device testing.,3
660,"Document requirements, use cases, and designs.",3
661,Worked in an Agile/Scrum development process environment.,3
662,"Actively develops and maintains job knowledge as a subject matter expert via review of the medical literature, attendance at professional meetings and/or other educational venues. Applies significant clinical experience and subject matter expertise towards evaluation and judgment of complex evidence as it relates to clinical decision support needs. Actively develops and maintains clinical expertise with the express purpose of translating this expertise into improving or creating drug content. Continually develops and refines writing and database skills",4
663,"Determining operational feasibility by evaluating analysis, problem definition, requirements, solution development and proposed solutions",3
664,"Work with developers and architects to translate prototypes into new products, services, and feature, and provide guidelines for large scale implementation.",1
665,"Designing, building, installing, configuring and supporting production deployments",3
666,"Use various methods to ensure the quality of your code: writing unit tests, performing code inspections with your peers, integration testing, performance testing and assisting QA.",3
667,"Proactively interact with key client management to gather information, resolve problems, and make recommendations for improvements and cyber risk reduction.",4
668,"Setup, deploy, and perform system administration on Windows servers.",3
669,"Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models",2
670,"Identify and recommend where increased automation, performance enhancements, application enhancements and quality enhancements may be incorporated.",3
671,Communicate with internal and external clients to elicit requirements,3
672,"Work with the team to close the loop between the analysis/planning and the results data, enabling agile optimization of campaigns.",1
673,To qualify prospects while introducing the solution and determine technical and,4
674,Work with large public data sets to cleanse data and perform analysis against internal well performance data,1
675,Keep up to date with latest technology trends in machine and deep learning and quickly learn about new frameworks/techniques to be used in projects delivery,1
676,"Generate software requirements documents, design specifications, and software test protocols.",3
677,Provide operational support by fixing production issues and embracing continuous delivery,3
678,"Perform testing (unit, independent, system and performance).",3
679,"Strong knowledge of operating system architecture such as memory management, IPC, scheduling, task switching, concurrent memory access, event driven programming.",3
680,Feedback: To provide respectful yet honest feedback to leadership about how to better achieve the software development goals.,3
681,"End to end execution of the payer research projects; understanding clients need, designing the questionnaire, selecting and suggesting payer archetypes which fits best for the clients need, analyse the payer responses, and develop deliverables including strategic insights and recommendations.",4
682,"Test, Train and Validate models developed in Python or R",1
683,Provide Tier-2 support to users of technology with a focus on delivering superb customer service; maintain help desk ticketing system and mentor other team members to support network infrastructure.,3
684,Foresees capacity requirements for component usage and identifies limitations.,3
685,Design subsystems to support software reuse and domain analyses and manage implementation,3
686,"Contributing to the functional and technical design, prototyping, and process design stages of implementations (including scenario design, flow mapping).",4
687,"Develop and direct software testing and validation, programming and documentation.",3
688,"Develop structured, documented, version controlled code that enables automation and post-roll out customer self-service",1
689,Use depth of experience and maturity to work independently without direct guidance in day-to-day activities,3
690,Mentor junior software engineers and help refine their software development skill sets,3
691,"Participate in the maintenance of a repository of all internal testing, compliance reporting and evidence for the Program. Post all required and relevant evidence to the QSA portal for assessment.",4
692,"Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.",1
693,Directly participate throughout the entire design process,2
694,Design and develop complex software using a variety of programming and scripting languages.,3
695,"Architect, document, develop, code, and test data science modules into scalable solutions in a big data environment.",1
696,"Continually learn new analytical skills, techniques and tools to maximise competitive advantage; participate in internal & external technology communities",1
697,This role is to facilitate the advancement of modern analytical techniques across the organizations,1
698,"Provide in-depth enterprise infrastructure/cloud modernization expertise to support the technical relationship with our customers, including product and solution briefings, proof-of-concept work, and partner directly with product management to prioritize solutions impacting customer adoption to our product.",3
699,"The primary focus of this position will be spent working on new development, maintenance, and support using SQLServer databases, ASP.NET web applications, and custom automation software",3
700,"Build a broad technical expertise and practical experience within different ChromeOS and Chrome Browser products, services, and features across critical enterprise solution categories, such as Identity, Management, Security, Networking, and Application (Cloud and Virtualization) solutions.",3
701,"Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs.",3
702,Online transactional databases.,3
703,"Working alongside machine learning experts, technologists, product managers and other informatics analysts to solve complex business problems.",1
704,Solicit technical requirements from customers and facilitate all pre-contract design discussions.,3
705,Work alongside the Engineering and DevOps teams in an Agile environment to support our CI pipelines with security best practices as well as ensuring perimeter security of applications,3
706,Support the qualification process of embedded software components and systems,3
707,"Provide technical guidance and mentorship to junior team members on analytics and analysis best practices, solution design as well as lead code/design reviews",1
708,Learning an entities risk profile and control environment and the impact on internal audits scope and planning,4
709,Research competitive technologies in order to develop alternative technical solutions,3
710,Optimize joint development efforts through appropriate database use and project design.,1
711,Provide recommendations for containment and eradication of threats.,1
712,"Debug and commission programs on the shop floor, and get the machine ready for SAT.",3
713,"Develop mathematical models for ships and sub-systems, including aerodynamic, hydrodynamic, mechanical, actuators and sensors.",3
714,"Participates in the testing process through test review and analysis, test witnessing and certification of software",3
715,"Ability to communicate using professional PowerPoint slides, backed up by rigorous factual details including operational pain points, efficiency levers and impacts to customers, employees and shareholders",1
716,"Communicating with clients, internal and external, to understand the business problems that we can solve using machine learning and AI",1
717,"Assists in establishing requirements, methods, and procedures.",3
718,Provide detailed remediation guidance for findings,4
719,"Create clear and concise documentation for all the work performed, including architecture and design documents, code comments, technical notes, READMEs, bug fixes, root cause analysis, etc.",3
720,Apply best practices and standard operating procedures.,2
721,Develops and maintains code and integrates software components into a fully functional software system.,3
722,Lead design of major software components and features.,3
723,Inform the Master when there is any doubt about the quality of the potable water,3
724,"Perform data analysis to identify algorithms technical limitations or defects, document findings and suggest solutions",1
725,Provide technical assistance and data analysis support for other M&V engineers.,3
726,Notifies possible resident of application approval or disapproval. Assists qualified residents with completing lease agreement and collects initial rent and deposit payments. Assists new residents with the move-in process.,4
727,Operate and contribute to our monitoring and alerting stacks:,3
728,Act as a trusted technical advisor to customers and solve complex Big Data challenges.,3
729,Analyze the quality and calibration of predictive models.,2
730,Be the SQL/Python/Spark/EMR/Snowflake expert on the team and help with data wrangling,2
731,Authoring and presenting design documents for various software and AI projects,2
732,"Duties include software requirements analysis, development of software products and software tools used for design, development and maintenance of infrastructure, and platforms.",3
733,"Responsible for the help desk, incident response, and change management systems for internal Tier 2 and above customers.",3
734,Gather insights about workflows and behavior patterns from qualitative research that will better inform usability data models.,1
735,"Perform job site analysis, determine employee exposure, and recommend safe work procedures",4
736,Champion and implement advanced software development practices;,3
737,Effectively presenting conclusions in both written and verbal form to Practice Leadership and our clients' senior management with the risk perspective of our clients' audit committees.,4
738,Develop and provide guidance on implementation best practices,4
739,build interactive dashboards that showcase relevant metrics,1
740,Develop in-depth knowledge of the service catalog and how it relates to customer needs.,4
741,"Assist in ongoing troubleshooting, maintenance and production support of existing application programs",3
742,"Write specifications, test plans, special test software/scripts for system verification and validation",3
743,"Reporting network operational status by gathering, prioritizing information, managing projects",3
744,Translate technical questions into actionable experimental designs to test hypotheses.,1
745,Build common platforms and applications,1
746,"Consult with customers or other departments on project status, proposals, and technical issues such as software system design and maintenance; prepare reports and correspondence concerning project specifications, activities, and status.",3
747,"Report to the Sales Managers regarding objectives, planned activities, reviews and analytics.",4
748,Troubleshoot customer or factory technical problems ranging from the basic to the complex,3
749,Work independently as a contributing member of a small software development team,3
750,Identification of new project risks and maintaining the project risk log in Clarity for assessment and resolution,4
751,Working closely with developers to create test specifications/conditions and build test cases to rigorously test product functionality and investigate all potential product test failures,3
752,"Be proactive, self-motivated and attentive to detail when solving highly complex level of escalated problems",3
753,"Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it.",3
754,"Develop, implement and maintain unit tests",3
755,Autonomously identify business risks and opportunities and create strategic or tactical recommendations using data-driven analysis,1
756,Help us build the processes and tools we need to take things to the next level.,3
757,"Work hands-on with the software build, deployment and final configuration for various hardware platforms",3
758,Assess our client security system vulnerabilities and recommend how they can become security compliant using our technology and services,3
759,"Design or develop software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design",3
760,"Work closely with multiple product and engineering teams to find ways to improve the product, and interact with our Site Reliability Engineering (SRE) teams to drive high-quality production.",3
761,"Perform end to end testing of all Transit Systems Software and Hardware (Ticket Vending Machine, Ticket Office Machine, Validation Systems, Web and Mobile)",3
762,Participate in code reviews to ensure code quality and share best practices and experiences with the team,2
763,"Lead and assist cross-functional teams in the selection of appropriate analytical methods, design of experiments and analytics, verification of data quality and information integrity, interpreting results, documenting processes and assumptions, and suitable presentation method.",1
764,"Demonstrate proficiency and deep knowledge in statistical machine learning methods, deep neural networks",2
765,Listen to needs of technical and business stakeholders and interpret them.,1
766,"Design, develop, document and deliver reports of moderate complexity for Tyler Clients using Microsoft Visual Studio and Microsoft SSRS.",3
767,"Improving operations by conducting systems analysis, recommending changes in policies and procedures, updating job knowledge by studying state-of-the-art development tools programming techniques, and computing equipment, participating in educational activities, etc.",3
768,"Develop, implement and maintain unit tests of programs.",3
769,"Ensuring high quality, maintainable, tested code base",2
770,"Research and develop analyses and forecasting and optimization methods across ads quality, search quality, end-user behavioral modeling, and live experiments.",1
771,"Manage customer relationships and perform RFP Review, Customer Visits and Product Testing.",3
772,Collaborate with other technology teams and architects to define and develop solutions.,2
773,Analytical skills & software development skills,3
774,Responsible for refusing unsafe work and for carrying out all work in accordance with the established safety standards and work practices.,3
775,"Developing, managing and/or maintaining controls software for production machines and processes specific to customer requirements.",3
776,Designs and develops our architecture requirements and specifications to ensure the system is meeting corporate needs.,4
777,Identify data patterns and trends.,1
778,Present changes to existing metadata repositories,1
779,"Actively participate on an Agile scrum team, sizing work efforts and decomposing functionality and iteratively delivering value.",3
780,Work collaboratively with Geoscientists in applying developed algorithms to solve challenging and high impact problems within the exploration and production domains,1
781,"Design, develop, and apply algorithms to help solve business and technical issues",1
782,"Serves as key resource and Subject Matter Expert (SME) on efforts to develop scalable, efficient, automated solutions for large scale data analyses, model development, model validation and model implementation.",1
783,Develop Google Cloud Platform code to support development of healthcare specific AI models.,2
784,Coordinates collection of operation and maintenance manual information for distribution to project Coordinator for assembly,3
785,"Assist in assessments of client network environments, identify gaps and performance improvement opportunities based on leading industry practices",4
786,Ensure functionality of system and fix issues,3
787,Demonstrated expertise in creating component and assembly drawings that utilize traditional tolerancing and Geometric Dimensioning and Tolerancing (GD&T) as appropriate.,3
788,"Market Knowledge: Ensures our marketing and communication channels are modern and up-to-date, capable of efficiently delivering world-class communications to all customer types, and ensuring that vendor partners are delivering as needed.",4
789,Partner with management and business units on innovative ways to successfully utilize data and related tools to advance business objectives and develop new products and services,1
790,"Oversee projects completely, from requirements document to delivery",3
791,Employ data and analytics to measure the impact of your solutions.,3
792,"Develop, implement, and use a broad set of machine-learning models and quantitative techniques for prediction and classification for mission critical applications",1
793,Collaborate with business stakeholders and product management departments to understand company needs and devise possible solutions.,1
794,"Implement code that follows established standards and demonstrates a basic understanding of services, and data warehousing",3
795,Participates in special projects and performs other duties as required.,4
796,Participate in and conduct code reviews,3
797,Assess the effectiveness and accuracy of new data sources and data gathering techniques.,2
798,Collaboration: Work with your peers within your team and outside your team to help develop these solutions. Work with leaders at customer locations to help advise them on how best to achieve their DevOps goals.,3
799,Works with off shore development teams. Acts as a technical resource for junior team members,3
800,Build and improve the machine learning models for ads targeting,2
801,Leads Conceptual and Detailed Design sessions to identify a client Master Data Management requirements,4
802,Participate in developing a greenfield electronic execution platform for one of the top fiat-crypto exchanges,3
803,"Experience in designing and developing programmable management interfaces using gNMI, NETCONF, etc.",3
804,Coordinate technical testing as system acceptance testing,4
805,Use of COTS/GOTS in place of new development,3
806,"Develop and deliver communication & education plans on analytic data engineering capabilities, standards, and processes",2
807,Understand the software development (SW) and testing life cycle as defined by,3
808,Participate in cutting edge research in artificial intelligence and machine learning applications.,2
809,Work within the team to prepare estimates and Level of Effort for tasked projects.,4
810,"Collaborates with Product Management, Development, and Research teams in the creation and implementation of machine learning algorithms and statistical models.",1
811,Provide technical guidance to internal & external team members,3
812,Perform unit testing to ensure the quality of code produced,3
813,Facilitates issues resolution in collaboration with IT and Client operational areas. Provides direction and/or oversees any corrective action performed by other IS departments,4
814,"Customer technical interface including understanding of requirements, feature milestones, and problem solving",3
815,"Work on challenging distributed system problems, such as recovery, consensus, load balancing, etc.",3
816,Develop and maintain code and integrate into a fully functional software system.,3
817,Test project-specific configuration against project-specific simulations.,3
818,Design and develop code from requirement specifications,3
819,Executes full product life-cycle (inception through deprecation) to create highly scalable and flexible RESTful APIs to enable an infinite number of digital products.,3
820,Select ML models for defined use cases. Implement KPIs to ensure optimal algorithms and results,1
821,"Develops, documents and maintains architectures, requirements, algorithms, interfaces and designs for software systems",3
822,"Act as the customer point of contact for all project issues, with responsibility for managing customer satisfaction.",3
823,"An innate sense of curiosity that leads to the creation of new ideas, with the ability to drive work to a recommendation or conclusion",3
824,Create full documentation around each solution that is delivered into production,1
825,"Support Sales Team in all client technical RFP/RFI responses, sales calls, onsite meetings and demonstrations.",3
826,Work to ensure the implementation of safety and integrity principles in structural documentation,3
827,Integrating with a diverse team to deliver in an agile-like manner,2
828,Data scientists use data and analytical ability to find and interpret rich data sources.,1
829,Maintain required certifications mandated by the regulations and take an active role in maintaining respiratory fitness through Chubb Global Risk Advisors' medical surveillance program.,4
830,Provide rotational on call support for all global regions,3
831,"Be able to conduct software development activities using C++/C#, Managed C++, MFC, ATL, COM, .NET in Windows 32/64 bit environment",3
832,Unit Testing and Validation - Ensures developed code meets the technical and functional specifications.,3
833,"Candidates should be able to work in large data sets in a big data (Hadoop, Spark) framework is required.",1
834,"Assist in applying machine learning to solve business problems, such as identifying cyber insurance risk",2
835,Partner with software engineers and cloud developers to develop production analytics,1
836,"Assemble large, complex data sets that meet functional / non-functional business requirements.",4
837,Works with Product Management to understand the challenges that customers and end users face in their day-to-day work and partner with them to design viable solutions.,3
838,"Maintain awareness of state-of-the-art machine learning and techniques, methods and platforms, including commercial and open source.",1
839,Maximizes sales opportunities by planning and managing selling time,4
840,"Design, plan and oversee the implementation of strategic investment management solutions including operating model, process reengineering, technical design and development",4
841,Provide concise data reports and clear data visualizations for management,1
842,Support development of new Payer Interactive Technology platform.,4
843,Microsoft Exchange 2003-2013 & Office 365,3
844,Provides customer feedback from the field to key personnel within the Company.,3
845,"Coordinate with the Gov POC and other team members to ensure problem solution, appropriate risk reduction, and user satisfaction",3
846,Researching customer business model/vertical specific business approach,4
847,Support Hardware and software integration in an Agile development environment.,3
848,"Building new features on a standalone basis with minimal oversight, collaborating with other engineers on your team to produce clean and operationally sound software.",3
849,"Help support the end-to-end financial data load and reporting processes in our SAP BW, Daniels SQL server and Jasper executive information system environments by ensuring master data (e.g., substitution rules, hierarchies, config tables, query variables) are configured on a timely and accurate basis",1
850,"Maintain trained status for, and comply with, all relevant aspects of our Quality Management System to ensure product and support regulatory compliance",3
851,"Work as an architect and developer, designing and building our systems for scale, modularity, and flexibility without compromising on reliability.",1
852,"Builds a deep understanding of the Company's products, services, data and customers to facilitate development of personalized and fulfilling experience.",2
853,"Adheres to a varied work schedule, including weekends and some holidays, as required, to be available to current and forthcoming residents.",4
854,"Conceptualizes, develops, and reviews new processes, methods, scripts, and other tools used by both the engineering and operations teams.",3
855,Developing and deploying solutions with Microsoft Partners for solving business problems using machine (deep) learning and Azure data platforms,1
856,Secures network system by establishing and enforcing policies; defining and monitoring access.,3
857,Applying continuous integration and continuous deployment (CI/CD) practices.,3
858,Evaluate emerging technologies and make recommendations based on research,3
859,"Collaborate with other team leads and engineers to architect, develop, and ship projects",3
